LE,gammaE,loglik
27.24709,0.6036785,-71.596176
27.24709,0.6036785,-71.596176
17.92515,0.7658718,-72.146286
38.62286,0.44251573,-71.967285
45.186447,0.5952413,-71.78088
14.477221,0.74053514,-72.643326
32.962273,0.6469902,-71.57455
30.864302,0.5544136,-71.621445
19.313576,0.88137776,-72.757355
19.582317,0.54273707,-72.32896
18.910906,0.5439049,-72.39683
22.374125,0.85221267,-72.58023
22.374125,0.85221267,-72.58023
27.21065,0.48092824,-72.09595
56.07513,0.39778283,-72.079506
16.813484,0.73467004,-72.24118
34.424778,0.7258104,-72.14909
25.700226,0.6531415,-71.59151
17.933086,0.82382953,-72.35275
18.377335,0.7666215,-72.10463
23.817694,0.65694195,-71.6585
23.208927,0.6457551,-71.69949
39.169903,0.36420998,-72.504944
21.040058,0.9255711,-73.49455
14.052705,0.3852548,-73.82148
12.893409,0.31385842,-74.33342
51.279396,0.41712245,-71.98873
25.875046,0.33973935,-73.16063
42.573853,0.6755099,-72.265686
30.136454,0.20687276,-74.22235
8.351286,0.1709743,-75.5354
51.878654,0.2240967,-73.657364
16.646751,0.1743947,-74.989716
40.07309,0.23591365,-73.69444
51.73726,0.26448458,-73.21156
21.447498,0.8772204,-72.81658
17.834562,0.674218,-72.131485
32.575897,0.6726723,-71.65571
26.651539,0.7063274,-71.66136
26.519276,0.6543158,-71.5719
11.645905,0.90922636,-73.77232
11.628706,0.9682819,-74.14349
17.065678,0.8489832,-72.554955
15.627777,0.83106524,-72.61882
17.821957,0.76430374,-72.153656
14.813049,1.0171852,-74.39479
11.304789,0.8341759,-73.60517
9.096527,0.78112686,-74.39435
12.281895,0.90978986,-73.61083
13.077717,1.0059056,-74.2731
13.077717,1.0059056,-74.2731
15.368901,0.75251794,-72.47912
11.442484,0.91350436,-73.85129
11.933119,0.92067665,-73.75713
19.653122,0.75530815,-71.977005
34.561253,0.6967856,-71.89299
37.572975,0.75862885,-72.94499
45.269997,0.31552246,-72.80504
34.027977,0.6578712,-71.63988
28.23012,0.46819642,-72.12286
22.690992,0.836195,-72.42534
23.991842,0.691709,-71.66063
28.031515,0.6536859,-71.55032
27.356195,0.4699868,-72.15367
34.998528,0.63494134,-71.58747
36.452644,0.65839946,-71.73607
25.925625,0.54046744,-71.8566
12.576361,0.7869749,-73.133064
10.939337,0.7691261,-73.627464
13.426497,0.6492778,-72.95877
14.718656,0.6667698,-72.64813
9.802885,0.64865905,-74.04584
8.577772,0.6215515,-74.549
8.2347,0.5623617,-74.70321
17.294533,0.69012254,-72.184944
17.793875,0.5950706,-72.32989
15.617966,0.49113446,-73.0732
16.87851,0.73388106,-72.23177
26.042103,0.7882116,-72.147964
16.165154,0.6859098,-72.35863
27.892776,0.6271636,-71.54979
30.124823,0.75575715,-72.11576
29.903141,0.73560315,-71.922485
28.348003,0.6575638,-71.55234
58.144375,0.27890527,-72.99612
50.877956,0.45860264,-71.81447
36.5018,0.602491,-71.55014
25.16789,0.5875183,-71.72096
24.007257,0.6228137,-71.69321
50.06085,0.5393226,-71.74733
40.88071,0.5209553,-71.621574
9.372353,0.66312176,-74.2096
11.4169445,0.7395274,-73.44818
34.74172,0.7406976,-72.34941
24.947243,0.61041373,-71.67199
19.590761,0.57824945,-72.17852
25.934893,0.6321527,-71.59657
22.202168,0.69842803,-71.738205
21.632845,0.75927925,-71.89424
19.069553,0.6870263,-71.975586
11.962885,1.0268493,-74.62662
8.798049,0.7608457,-74.51201
10.410242,0.74703205,-73.8068
12.710858,0.5466096,-73.3817
14.383787,0.6602848,-72.72741
13.255386,0.6628365,-72.977
14.787844,0.8178231,-72.70295
39.55161,0.24323697,-73.62543
51.34044,0.5881034,-72.0123
18.970854,0.8664976,-72.61003
30.564352,0.6361246,-71.52779
26.711178,0.51127964,-71.955
27.902287,0.88420343,-73.88603
20.014076,0.8029332,-72.14123
18.716639,0.7734996,-72.09393
19.487818,0.7790966,-72.05896
27.814606,0.64051807,-71.54721
25.112705,0.71090966,-71.67656
32.832703,0.55157787,-71.59241
33.32181,0.4673868,-71.94243
33.743946,0.47239235,-71.90304
19.433987,0.5886287,-72.15684
17.057705,0.6059331,-72.3957
24.483875,0.62293327,-71.66886
23.106106,0.74520385,-71.81033
9.6628475,1.0391812,-75.21863
14.58674,0.9303181,-73.36656
32.272453,0.6518903,-71.574036
19.017107,0.8812588,-72.75035
15.3458,0.702697,-72.48418
15.354731,0.7871326,-72.52922
45.935272,0.5542212,-71.67415
45.027424,0.5341726,-71.64108
27.123539,0.48779923,-72.06085
32.360043,0.6668254,-71.625046
25.140873,0.6908522,-71.63208
17.413296,0.78211725,-72.238525
22.941723,0.5982494,-71.81932
56.452984,0.54396147,-71.961
56.452984,0.54396147,-71.961
42.388866,0.42366818,-72.02185
16.951424,0.74057037,-72.22586
28.612486,0.5822679,-71.60215
24.117987,0.883387,-73.199135
18.587023,0.7074168,-72.01825
15.140397,0.61024505,-72.69452
21.867336,0.5370996,-72.14195
17.118973,0.60406417,-72.39281
11.718328,0.8666621,-73.57094
43.136364,0.5823737,-71.66339
30.568659,0.5324244,-71.70621
26.471962,0.4442937,-72.361916
42.75572,0.39909932,-72.17596
40.33329,0.34718502,-72.61961
21.990803,0.92603004,-73.64366
47.673607,0.5911174,-71.86261
13.225565,0.9424371,-73.63928
16.683142,0.8840562,-72.822426
12.341486,1.0415925,-74.76696
25.761684,0.6667466,-71.593094
25.39938,0.68507403,-71.6187
35.379196,0.65265375,-71.66394
35.379196,0.65265375,-71.66394
40.0255,0.4645536,-71.82739
43.29512,0.4551693,-71.84099
78.62385,0.43601733,-72.1754
34.535084,0.20241946,-74.17392
6.7420588,0.20841405,-75.57127
7.2796097,0.20611145,-75.50136
23.534513,0.19299929,-74.55332
27.050331,0.21942873,-74.17726
56.844986,0.645834,-73.10446
50.84931,0.6954006,-73.43091
50.84931,0.6954006,-73.43091
46.1674,0.6863113,-72.739204
10.813236,0.5494862,-73.84822
59.532795,0.6424208,-73.29598
54.380016,0.61845535,-72.48696
21.730581,0.25212973,-74.08212
9.698461,0.34333032,-74.68
28.510914,0.89456826,-74.27635
15.59123,0.78195393,-72.48045
14.8692,0.798746,-72.638
31.853926,0.77275485,-72.470795
31.670214,0.75003403,-72.179306
12.64095,0.77640384,-73.10279
16.045456,0.9369949,-73.34335
12.350528,0.833811,-73.28849
21.030815,0.5079938,-72.36026
17.062618,0.57649475,-72.49622
18.44211,0.97531575,-74.027054
12.962229,0.7724971,-73.0135
13.387319,0.7408583,-72.88834
12.842532,0.7270956,-73.02703
18.512856,0.78666973,-72.15144
32.126686,0.60177773,-71.51875
19.270199,0.7704876,-72.04435
20.569363,0.79648584,-72.09127
34.954704,0.59881824,-71.52736
19.098495,0.6712652,-71.98804
18.051247,0.7321557,-72.084885
20.674786,0.76589143,-71.95221
12.22765,0.6451072,-73.26922
15.454721,0.6262469,-72.59459
24.065584,0.6793077,-71.64776
34.64034,0.7208183,-72.11447
26.228214,0.5743372,-71.71173
20.737957,0.79845405,-72.09836
21.349026,0.75336623,-71.88308
30.054848,0.6109168,-71.52789
34.78349,0.48089668,-71.83304
29.404531,0.622164,-71.52934
17.190687,0.785743,-72.272575
20.81874,0.8170956,-72.21426
30.324308,0.50701195,-71.825806
18.07806,0.8948763,-72.87993
18.07806,0.8948763,-72.87993
12.447329,0.89387256,-73.488495
11.689524,0.82901347,-73.46965
21.949606,0.77519727,-71.956375
23.467457,0.5908598,-71.807556
24.009071,0.6458198,-71.65871
23.759476,0.798507,-72.12695
23.759476,0.798507,-72.12695
13.391341,0.66239756,-72.94502
29.378162,0.74047923,-71.93146
18.76826,0.6946844,-72.00252
17.10059,0.60021764,-72.40782
23.940233,0.69289714,-71.663574
32.664894,0.46376413,-71.98247
34.09148,0.6343965,-71.56543
39.57785,0.7799092,-73.68271
28.919077,0.71705323,-71.75448
23.288738,0.70253724,-71.696976
29.122719,0.62557423,-71.531525
37.62748,0.8211637,-74.36684
27.235216,0.56002194,-71.71733
37.421665,0.5466063,-71.57012
35.335117,0.5677648,-71.54069
37.510868,0.57815754,-71.545685
36.168243,0.56706244,-71.54195
32.568256,0.7296627,-72.04384
31.586948,0.7327917,-72.00362
19.884777,0.6599498,-71.92485
15.279538,0.6309536,-72.6143
15.969786,0.7984553,-72.46117
40.831158,0.603744,-71.65875
47.730392,0.2733486,-73.17317
43.09189,0.29259554,-73.05757
34.98246,0.41037676,-72.260765
41.455284,0.40683118,-72.14393
67.39127,0.5509411,-72.49124
27.68591,0.4871217,-72.0374
27.871456,0.71370727,-71.70798
22.009497,0.75645053,-71.87361
18.328182,0.75114715,-72.078285
32.92086,0.61904615,-71.5241
40.735363,0.49514553,-71.69345
54.44779,0.36180705,-72.315125
122.78406,0.4271526,-73.09769
103.79764,0.41632277,-72.586426
51.37722,0.47250804,-71.77966
55.87628,0.5678495,-72.08213
57.05773,0.5647903,-72.114136
53.044697,0.5553727,-71.89241
9.678612,0.59996384,-74.12899
10.867369,0.590464,-73.752594
19.883947,0.63580406,-71.97054
29.902699,0.6329742,-71.52626
23.92355,0.4535224,-72.45485
41.54962,0.6766128,-72.19655
36.29842,0.67273885,-71.816605
17.359241,0.6173476,-72.31848
18.268173,0.5171562,-72.59709
15.21616,0.95190245,-73.53266
7.815562,0.882253,-75.27138
32.394867,0.6633153,-71.61291
23.472084,0.54740393,-71.97339
36.981335,0.4269575,-72.09711
17.444382,0.9333397,-73.30501
17.444382,0.9333397,-73.30501
20.572924,0.7361821,-71.87706
17.69684,0.6551484,-72.180725
20.772484,0.62480706,-71.91391
25.73236,0.6363389,-71.59924
19.556278,0.80670744,-72.177414
11.506575,0.91363186,-73.833626
79.6921,0.2880583,-72.79358
24.780758,0.45068312,-72.41797
25.847237,0.80975074,-72.35423
