recid,eqid,magnitude,region,station_longitude,station_latitude,epi_dist,epi_azimuth,vs30,scaled_deltaW
15304,1110,3.86,CALIFORNIA,-117.28332,35.89095,188.1061524634252,0.050369144215567,482.0,0.3705445195249304
15305,1110,3.86,CALIFORNIA,-116.797,33.834,67.88670916761966,2.204048674495168,499.0,0.8902202118144514
15306,1110,3.86,CALIFORNIA,-118.64614,34.05933,117.0477226266398,-1.6960457347104745,750.25,-1.540481353474034
15307,1110,3.86,CALIFORNIA,-117.789,33.829,55.15696566916029,-2.403791728588217,440.67,-0.5004131673775419
15308,1110,3.86,CALIFORNIA,-117.769,33.664,68.8678987872737,-2.6030987675171207,302.09,-0.9641568514259566
15309,1110,3.86,CALIFORNIA,-117.098,34.106,28.62620305500451,1.9322294559948383,698.72,0.1763025556128966
15310,1110,3.86,CALIFORNIA,-117.67822,34.38203,33.63845451458033,-0.9156010275311716,586.0,0.3354675135076883
15312,1110,3.86,CALIFORNIA,-118.11783,34.48364,74.2566967511168,-1.125705837612822,405.0,0.0268124217132262
15313,1110,3.86,CALIFORNIA,-117.3296,34.56065,40.63189663053887,0.1327475668360983,374.5,0.7673082027657316
15314,1110,3.86,CALIFORNIA,-118.14035,35.53664,163.69634860937842,-0.4298415393884978,402.0,0.1483138834602085
15380,1113,3.99,CALIFORNIA,-117.43391,34.55046,58.08511685378092,-0.3066144460163685,375.0,-0.62131348919266
15381,1113,3.99,CALIFORNIA,-116.67215,32.68005,161.10515364131328,2.8028536535001938,511.0,1.3869876542754094
15382,1113,3.99,CALIFORNIA,-116.981,33.921,28.19270663569465,2.108250971582448,341.0,-1.4695521327301262
15385,1113,3.99,CALIFORNIA,-117.65853,34.23883,43.60762908973312,-1.0717902358811424,500.0,-1.1849031390257376
15386,1113,3.99,CALIFORNIA,-116.39,34.069,78.76332565582314,1.541839414793946,524.0,-0.666227783326848
